startYear	YearMinMax	overviewNLP	genres1	leading_role	second_role	third_role	leading_director	production_companies_name_hash_0	directors_hash_1	Title	genres_hash_0	genres_hash_1	genres_hash_2
1986	17.920353982300835	jason chan hong kong lawyer angry way law protects criminals decides take law hands dishing vigilante justice key witness entire family murdered hotshot cop cindy si soon chan 's case situation unravels fight survive	Action	Biao Yuen	Cynthia Rothrock	Melvin Wong	Corey Yuen	0.0	0.0	Une flic de choc	0.0	1.0	0.0
1985	17.68141592920353	four angry cadets formed inner circle attempt beat system ward boredom stifling confinement military academy set chain events starts theft leads murder	Drama	Pablo Serra	Gustavo Bueno	Luis Álvarez	Francisco J. Lombardi	0.0	0.0	La ville et les chiens	0.0	0.0	0.0
2012	24.132743362831782	nani flower decorator madly love neighbor bindhu gets killed baddie sudeep powerful businessman nani comes back housefly get revenge	Action	Sudeep	Nani	Samantha Ruth Prabhu	S.S. Rajamouli	0.0	0.0	Eega	0.0	0.0	0.0
2020	26.0442477876106	film tackles life journey toni ligabue visionary naïf painter used draw tigers lions jaguars living among poplar trees boundless po valley harsh life fairy tale lonely marginalized kid finds redemption art way express admired world	Biography	Elio Germano	Oliver Ewy	Leonardo Carrozzo	Giorgio Diritti	0.0	0.0	Je voulais me cacher	0.0	0.0	0.0
2019	25.805309734513195	jimmie fails dreams reclaiming victorian home grandfather built heart san francisco joined quest best friend mont jimmie searches belonging rapidly changing city seems left behind	Drama	Jimmie Fails	Jonathan Majors	Rob Morgan	Joe Talbot	0.0	0.0	The Last Black Man in San Francisco	0.0	0.0	0.0
1944	7.88495575221236	newlywed fears 's going mad strange things start happening family mansion	Crime	Charles Boyer	Ingrid Bergman	Joseph Cotten	George Cukor	-1.0	0.0	Hantise	0.0	1.0	0.0
2015	24.849557522123884	lily 76 sure nothing wrong reason lives care home husband max 's illness series strokes reduced vegetable fact lily exactly way used becomes slowly clear danish drama key house mirror title refers memory test easy lily leave old habits behind fit rules home life blossoms meets 80 - year - old swedish neighbour charming man gives attention long missed lily daughter however happy budding romance	Drama	Ghita Nørby	Sven Wollter	Trine Pallesen	Michael Noer	1.0	0.0	La chambre d'en face	0.0	0.0	0.0
1967	13.380530973451297	hedvig jensen famous ropewalker known public elvira madigan meets lieutenant sixten sparre swedish officer married two children decide run away since sixten deserted army find job couple encounters many hardships moreover run sixten meets friend tries convince come back country family	Biography	Pia Degermark	Thommy Berggren	Lennart Malmer	Bo Widerberg	0.0	0.0	Elvira Madigan	0.0	0.0	0.0
1959	11.469026548672488	police commissioner jules maigret returns small village spent childhood request countess saint - fiacre received disturbing anonymous letter	Crime	Jean Gabin	Michel Auclair	Valentine Tessier	Jean Delannoy	0.0	-1.0	Maigret et l'affaire Saint-Fiacre	0.0	1.0	0.0
1949	9.079646017699066	two friends opposite personalities rich sensitive pran womanizing gopal affairs two mountain girls holidaying valley kashmir pran reshma 's love true reciprocated gopal womanizing villain disregards faithful neela condemns wait faithfully return barsaat rainy season	Drama	Nargis	Raj Kapoor	Premnath Malhotra	Raj Kapoor	0.0	0.0	La mousson	0.0	0.0	0.0
2020	26.0442477876106	continuation epic adventure plucky riko reg joined new friend nanachi together descend abyss ' treacherous fifth layer sea corpses encounter mysterious bondrewd legendary white whistle whose shadow looms nanachi 's troubled past bondrewd ingratiatingly hospitable brave adventurers know things always seem enigmatic abyss	Adventure	Miyu Tomita	Mariya Ise	Shiori Izawa	Masayuki Kojima	1.0	0.0	Made in Abyss: L'aurore de l'âme	0.0	0.0	0.0
1989	18.63716814159284	chronicles three years middle class family seemingly caught daily routines troubled minor incidents behind apparent calm repetitive existence however actually planning something sinister	Drama	Birgit Doll	Dieter Berner	Leni Tanzer	Michael Haneke	0.0	0.0	Le septième continent	0.0	0.0	0.0
2013	24.37168141592918	man named seligman finds fainted wounded woman alley brings home tells name joe nymphomaniac joe tells life sexual experiences hundreds men since young teenager seligman tells hobbies fly fishing reading fibonacci numbers listening organ music	Drama	Charlotte Gainsbourg	Stellan Skarsgård	Stacy Martin	Lars von Trier	1.0	0.0	Nymphomaniac : Volume 1	0.0	0.0	0.0
1964	12.66371681415929	arthur simon simpson small - time crook biding time greece one potential victims turns gentleman thief planning steal emerald - encrusted dagger mehmed ii istanbul 's topkapi museum	Adventure	Melina Mercouri	Peter Ustinov	Maximilian Schell	Jules Dassin	-1.0	0.0	Topkapi	0.0	0.0	0.0
1993	19.592920353982247	jubei masterless ninja travels land alone lending services gold — or worthy cause fearsome abilities served well plot overthrow government threatens end wandering ways — and possibly life	Action	Kôichi Yamadera	Emi Shinohara	Takeshi Aono	Yoshiaki Kawajiri	0.0	0.0	Ninja Scroll	0.0	0.0	0.0
2010	23.654867256637175	motley crew young boys colombia lives one passion soccer precious new ball rolls minefield dreams suddenly hold even village becomes center tug - of - war right - wing paramilitary groups leftist guerrillas idea rescue attempt tempting resist	Drama	Hernán Mauricio Ocampo	Nolberto Sánchez	Genaro Aristizábal	Carlos César Arbeláez	0.0	0.0	Les couleurs de la montagne	0.0	0.0	0.0
1998	20.787610619468957	lives high - end prostitutes interactions clients 4 brothels fin de siècle shanghai	Drama	Tony Leung Chiu-wai	Michiko Hada	Michelle Reis	Hsiao-Hsien Hou	0.0	0.0	Les fleurs de Shanghai	0.0	0.0	0.0
1958	11.230088495575181	la création du monde among first animated feature films made france exact film animated czechoslovakia directed eduard hofman adapted series five books jean effel french caricaturist illustrator visual style adapted drawings film comedy creation universe six days devil messing around contributing way	Animation	Jan Werich	Georges Aminel	Boris Karloff	Eduard Hofman	-1.0	0.0	La création du monde	0.0	0.0	0.0
1949	9.079646017699066	mechanic behnke wants join nazi party secure good living however jewish neighbors taken away changes views trying remain ` ` non - political man '' withdraws reality becomes nazis laborer	Drama	Paul Esser	Irene Korb	Karl Heinz Deickert	Wolfgang Staudte	0.0	0.0	Mon fils m'a trahi	0.0	0.0	0.0
2021	26.283185840707898	recounted mostly animation protect identity amin looks back past child refugee afghanistan grapples secret kept hidden 20 years	Animation	Daniel Karimyar	Fardin Mijdzadeh	Milad Eskandari	Jonas Poher Rasmussen	-2.0	0.0	Flee	0.0	0.0	-1.0
1965	12.902654867256597	1916 officer habsburg army ethnic romanian apostol bologa torn remaining loyal habsburgs deserting romanian army across enemy lines	Drama	Victor Rebengiuc	Liviu Ciulei	Stefan Ciubotarasu	Liviu Ciulei	0.0	-1.0	La Forêt des pendus	0.0	0.0	0.0
2003	21.982300884955666	film adapted work fiction author tracy chevalier tells story events surrounding creation painting ` ` girl pearl earring '' 17th century dutch master johannes vermeer young peasant maid working house painter johannes vermeer becomes talented assistant model one famous works	Biography	Scarlett Johansson	Colin Firth	Tom Wilkinson	Peter Webber	0.0	0.0	La jeune fille à la perle	0.0	0.0	0.0
1999	21.026548672566356	set limoges movie tells story ` ` good son '' franck jalil lespert returns hometown trainee managerial internship human resources department factory anxious taciturn father worked 23 years	Comedy	Jalil Lespert	Jean-Claude Vallod	Chantal Barré	Laurent Cantet	0.0	0.0	Ressources humaines	0.0	0.0	0.0
2020	26.0442477876106	boy lives grandma mr . lin tenant looks grandma grandma passes away boy 's uncle returns taiwan discovers ownership apartment transferred people	Drama	Morning Tzu-Yi Mo	Shu-Fang Chen	Run-yin Bai	Cheng Yu-Chieh	0.0	0.0	Dear Tenant	0.0	0.0	0.0
1931	4.778761061946838	suspicious man bribes emil chocolate return bundle cash young lad thinks plan catch	Adventure	Rolf Wenkhaus	Käthe Haack	Fritz Rasp	Gerhard Lamprecht	0.0	-1.0	Émile et les détectives	0.0	0.0	0.0
1944	7.88495575221236	discharged marines hayfever condition ever seeing action woodrow lafayette pershing truesmith delays return hometown feeling failure moment melancholy meets group marines befriend encourage return home mother fabricating story wounded battle honorable discharge	Comedy	Eddie Bracken	Ella Raines	Raymond Walburn	Preston Sturges	0.0	0.0	Héros d'occasion	0.0	0.0	0.0
1976	15.530973451327416	immediately miscarriage us diplomat robert thorn adopts newborn damien without knowledge wife yet know new son son devil	Horror	Gregory Peck	Lee Remick	Harvey Stephens	Richard Donner	0.0	0.0	La Malédiction	1.0	1.0	0.0
1985	17.68141592920353	young woman urgently seeks navigate maze contemporary taipei find future hopes boyfriend lung key future lung stuck past combines baseball traditional loyalty leads squander nest egg bailing father financial trouble	Drama	Chin Tsai	Hsiao-Hsien Hou	I-Chen Ko	Edward Yang	0.0	0.0	Taipei Story	0.0	0.0	0.0
1979	16.247787610619422	following assassination president marc jarry member investigation committee refuses sign committee 's final findings	Crime	Yves Montand	Michel Albertini	Roland Amstutz	Henri Verneuil	0.0	0.0	I... comme Icare	0.0	1.0	0.0
2009	23.415929203539775	wake freak accident lance suffers worst tragedy greatest opportunity life suddenly faced possibility fame fortune popularity live knowledge got	Comedy	Robin Williams	Daryl Sabara	Morgan Murphy	Bobcat Goldthwait	1.0	0.0	Tout un papa	0.0	0.0	0.0
1988	18.398230088495538	pepe soriano plays madrid shopkeeper kidnapped henchmen franco political comedy kidnapping forced become dictator 's double many official ceremonies due long unexplained absence pepe 's wife believes husband abducted killed tries reach husband spiritualism pepe surprises nocturnal visit tells touch ear signal franco public appearances	Comedy	Pepe Soriano	José Sazatornil	Chus Lampreave	Antonio Mercero	1.0	0.0	Attends-moi au ciel	0.0	0.0	0.0
2010	23.654867256637175	film covers heroic defence brest fortress attacked first strike german invaders june 22 1941 . story describes events first days defence including three main resistance zones headed regiment commander pyotr mikhailovich gavrilov commissar efim moiseevich fomin head 9th frontier outpost andrey mitrofanovich kizhevatov many years later veteran alexander akimov recalls memories time 15 year old sasha akimov deeply love beautiful anya suddenly found middle bloody events war	Action	Aleksey Kopashov	Pavel Derevyanko	Aleksandr Korshunov	Aleksandr Kott	0.0	0.0	La Bataille De Brest-Litovsk	0.0	0.0	0.0
1970	14.097345132743307	siddhartho chowdhury brilliant medical student forced leave studies father 's sudden demise forced navigate high unemployment rate communist socio - political climate 1960s calcutta search job	Drama	Dhritiman Chatterjee	Asgar Ali	Arabinda Banerjee	Satyajit Ray	0.0	0.0	L'adversaire	0.0	0.0	0.0
1939	6.690265486725648	british army sergeants ballantine cutter macchesney serve india 1880s along native water - bearer gunga din completing dangerous telegraph - repair mission unearth evidence suppressed thuggee cult gunga din tells sergeants secret temple made gold fortune - hunting cutter captured thuggees 's friends rescue	Adventure	Cary Grant	Joan Fontaine	Victor McLaglen	George Stevens	0.0	1.0	Gunga Din	0.0	0.0	0.0
1980	16.486725663716822	ex - fighter pilot forced take controls airliner flight crew succumbs food poisoning	Comedy	Robert Hays	Julie Hagerty	Leslie Nielsen	Jim Abrahams	0.0	1.0	Y a-t-il un pilote dans l'avion ?	0.0	0.0	0.0
1961	11.946902654867188	tells true story gwen terasaki falls love marries japanese diplomat war breaks find animosity trouble sides	Drama	Carroll Baker	James Shigeta	James Yagi	Etienne Périer	-1.0	0.0	Le Pont vers le Soleil	0.0	0.0	0.0
2015	24.849557522123884	young mute girl pakistan loses india way head back devoted man magnanimous spirit undertakes task get back motherland unite family	Action	Salman Khan	Harshaali Malhotra	Nawazuddin Siddiqui	Kabir Khan	2.0	0.0	Bajrangi Bhaijaan	0.0	0.0	0.0
1996	20.309734513274254	part intergalactic coalition well - meaning space alien volunteers bring message self - actualization harmony nature one planet rejected peers incorrigible earth	Comedy	Coline Serreau	Vincent Lindon	Samuel Tasinaje	Coline Serreau	0.0	0.0	La belle verte	0.0	0.0	0.0
2016	25.088495575221188	21 - year - old student tonio dies traffic accident novelist parents face sorrow regret suffer agony losing child	Drama	Rifka Lodeizen	Pierre Bokma	Minne Koole	Paula van der Oest	1.0	0.0	Tonio	0.0	0.0	0.0
2022	26.522123893805293	pious girl paraskeva became saint spending 40 years life jordan desert fighting temptations sins inner demons	Biography	Milena Predic	Milica Stefanovic	Mariam Amer	Hadzi-Aleksandar Djurovic	0.0	0.0	Une Croix Dans Le Désert	0.0	0.0	0.0
2004	22.221238938053066	picked wrong door anna ends confessing marriage problems financial adviser named william faber touched distress somewhat excited well faber courage tell psychiatrist appointment appointment strange ritual created william moved fascinated hear secrets man ever heard	Drama	Sandrine Bonnaire	Fabrice Luchini	Michel Duchaussoy	Patrice Leconte	0.0	0.0	Confidences trop intimes	0.0	0.0	0.0
1975	15.292035398230016	gerrard winstanley leader 17th century religious group believes land owned communally convictions bring conflict state church	Biography	Miles Halliwell	Jerome Willis	Terry Higgins	Kevin Brownlow	0.0	0.0	Winstanley	0.0	0.0	0.0
1945	8.12389380530966	marine hero al schmid blinded battle returns home rehabilitated readjusts civilian life help soon wife	Biography	John Garfield	Eleanor Parker	Dane Clark	Delmer Daves	0.0	0.0	L'orgueil des marines	0.0	0.0	0.0
1989	18.63716814159284	travel chicago new york harry sally debate whether sex ruins friendship man woman eleven years later 're still closer finding answer	Comedy	Billy Crystal	Meg Ryan	Carrie Fisher	Rob Reiner	0.0	0.0	Quand Harry rencontre Sally...	0.0	0.0	0.0
1956	10.752212389380482	aparajito picks first film leaves apu family moved away country live bustling holy city varanasi known benares apu progresses wide - eyed child intellectually curious teenager eventually studying kolkata witness academic moral education well growing complexity relationship mother tenderly expressive often heart - wrenching film three top prizes venice film festival including golden lion extends also spiritually deepens tale apu	Drama	Pinaki Sengupta	Smaran Ghosal	Kamala Adhikari	Satyajit Ray	0.0	0.0	L'invaincu	0.0	0.0	0.0
2003	21.982300884955666	paris 1960s momo resolute independent jewish teenager lives father sullen depressed man working - class neighborhood develops close friendship monsieur ibrahim elderly muslim owns small grocery store	Comedy	Omar Sharif	Pierre Boulanger	Gilbert Melki	François Dupeyron	0.0	0.0	Monsieur Ibrahim et les fleurs du Coran	0.0	0.0	0.0
2021	26.283185840707898	honor 5th anniversary immensely popular korean girl group ‘ blackpink releasing worldwide theatrical event fans features never - before - seen footage interviews well clips shows give audience unique concert - like experience	Documentary	Blackpink	Jennie Kim	Lalisa Manobal	Su Yee Jung	1.0	0.0	BLACKPINk the Movie	0.0	0.0	-1.0
1982	16.96460176991143	novel title camilo jose cela ` ` la colmena '' sad composition stories many people madrid 1942 postwar spanish civil war main theme film contrast poets surviving close misery franco 's regime winners war emerging class people makes easy money illegal business	Drama	Victoria Abril	Ana Belén	Concha Velasco	Mario Camus	1.0	0.0	La ruche	0.0	0.0	0.0
2005	22.46017699115037	young journalist lespert helps french president compile memoirs	Biography	Michel Bouquet	Jalil Lespert	Philippe Fretun	Robert Guédiguian	1.0	0.0	Le dernier Mitterrand	0.0	0.0	0.0
2011	23.89380530973448	april 1988 ouvéa island new caledonia 30 gendarmes taken hostage group kanak freedom fighters 300 soldiers sent france re - establish order 2 men confront philippe legorjus chief terrorist squad alphonse dianou head kidnappers shared values attempt make discussion triumph middle presidential election stakes political order n't always dictated morality violent troubling epic marks return mathieu kassovitz front behind camera	Action	Mathieu Kassovitz	Iabe Lapacas	Malik Zidi	Mathieu Kassovitz	0.0	0.0	L'ordre et la morale	0.0	0.0	0.0
1942	7.407079646017654	year 1880 . outskirts fictional small scottish town levenford stands strange building half cottage half castle embraced thick stone walls townsfolk nickname fortress ` ` hatter 's castle '' james brodie man built brodie hatter keeps members family fear submission brutal arrogant selfish cruel wife long ailing daughter mary awe son angus aged 15 alone dear heart suffers love others suffer sternness	Drama	Robert Newton	James Mason	Deborah Kerr	Lance Comfort	0.0	0.0	Le chapelier et son château	0.0	0.0	0.0
1931	4.778761061946838	four stowaways get mixed gangsters running riot ocean liner	Comedy	Groucho Marx	Harpo Marx	The Marx Brothers	Norman Z. McLeod	0.0	0.0	Monnaie de singe	0.0	0.0	0.0
2017	25.32743362831858	hawaii story struggle inheriting $ 3 million communist - era romania owning $ 1 could mean losing freedom touches theme money could buy happiness least freedom choose unhappiness	Drama	Dragos Bucur	Cristina Flutur	Andi Vasluianu	Jesús del Cerro	0.0	0.0	Hawaï	0.0	0.0	0.0
2022	26.522123893805293	brother story francis michael sons caribbean immigrants maturing young men amidst toronto pulsing 1990 hip - hop scene mystery unfolds escalating tensions set series events changes course brothers lives forever	Drama	Lamar Johnson	Aaron Pierre	Marsha Stephanie Blake	Clement Virgo	0.0	0.0	Brother	0.0	0.0	0.0
2018	25.56637168141589	lake tahoe 1969 . seven strangers one secret bury meet el royale decadent motel dark past course fateful night everyone one last shot redemption	Crime	Jeff Bridges	Cynthia Erivo	Dakota Johnson	Drew Goddard	0.0	0.0	Sale temps à l'hôtel El Royale	0.0	1.0	0.0
1956	10.752212389380482	humble simple takezo abandons life knight errant 's sought teacher vassal shogun japan 's powerful clan leader 's also challenged fight supremely confident skillful sasaki kojiro takezo agrees fight kojiro year 's time rejects shogun 's patronage choosing instead live edge village raising vegetables 's followed otsu later akemi love year ends takezo assists villagers band brigands seeks otsu 's forgiveness accepts love sets across water ganryu island final contest	Action	Toshirô Mifune	Mariko Okada	Kôji Tsuruta	Hiroshi Inagaki	0.0	0.0	La Voie de la lumière	0.0	0.0	0.0
1952	9.796460176991076	newlywed oliverio receives disturbing news mother deathbed travels remote part mexico fetch lawyer sort leaving wife behind embarks bus ride interrupted increasingly absurd series episodes including impromptu birthday celebration one - legged man writhing mud come - ons insatiable small - town belle raquel oliverio frequent freudian nightmares	Comedy	Lilia Prado	Carmelita González	Esteban Mayo	Luis Buñuel	0.0	0.0	La montée au ciel	0.0	0.0	0.0
2018	25.56637168141589	set china 's underworld tale love betrayal follows dancer fired gun protect mobster boyfriend fight release prison 5 years later sets find	Crime	Tao Zhao	Fan Liao	Zheng Xu	Jia Zhang-ke	0.0	0.0	Les Éternels	0.0	0.0	0.0
1985	17.68141592920353	invasion village byelorussia german forces sends young florya forest join weary resistance fighters family 's wishes meets girl glasha accompanies back village returning home florya finds family fellow peasants massacred continued survival amidst brutal debris war becomes increasingly nightmarish battle despair hope	Drama	Aleksey Kravchenko	Olga Mironova	Liubomiras Laucevicius	Elem Klimov	0.0	0.0	Requiem pour un massacre	0.0	0.0	0.0
2016	25.088495575221188	origin story former special forces operative turned mercenary wade wilson subjected rogue experiment leaves accelerated healing powers adopts alter ego deadpool armed new abilities dark twisted sense humor deadpool hunts man nearly destroyed life	Action	Ryan Reynolds	Morena Baccarin	T.J. Miller	Tim Miller	0.0	-1.0	Deadpool	0.0	0.0	0.0
2004	22.221238938053066	young man whose possession motorcycle spends time riding around city looking empty apartments finding one hangs fixing something eat washing laundry making small repairs return always tries leave owners get back one ostensibly empty mansion meets abused wife rich man escapes	Crime	Lee Seung-yun	Jae Hee	Hyuk-ho Kwon	Kim Ki-duk	0.0	0.0	Locataires	0.0	0.0	0.0
1964	12.66371681415929	man name enters mexican village san miguel midst power struggle among three rojo brothers sheriff john baxter regiment mexican soldiers bearing gold intended pay new weapons waylaid rojo brothers stranger inserts middle long - simmering battle selling false information sides benefit	Drama	Clint Eastwood	Gian Maria Volontè	Marianne Koch	Sergio Leone	0.0	0.0	Pour une poignée de dollars	0.0	0.0	1.0
2018	25.56637168141589	american - born chinese economics professor accompanies boyfriend singapore best friend 's wedding get thrust lives asia 's rich famous	Comedy	Constance Wu	Henry Golding	Michelle Yeoh	Jon M. Chu	0.0	0.0	Crazy Rich Asians	0.0	0.0	0.0
1976	15.530973451327416	dr . jenny isaksson psychiatrist whose temporary position mental hospital offers modest responsibilities husband country seminar daughter camp jenny moves grandparents expecting relaxing months n't long unpleasant memories childhood sudden appearance strange apparitions near - rape push otherwise stable woman edge sanity	Drama	Liv Ullmann	Erland Josephson	Aino Taube	Ingmar Bergman	0.0	0.0	Face à face	0.0	0.0	0.0
1971	14.336283185840706	swedish peasant family ravaged poverty privation misery mid-19th century sweden set perilous journey america hope better life	Drama	Max von Sydow	Liv Ullmann	Eddie Axberg	Jan Troell	0.0	0.0	Les Émigrants	0.0	0.0	1.0
2018	25.56637168141589	traveling search rare ingredient “ sky fish ” meliodas hawk arrive palace floats clouds people busy preparing ceremony meant protect home ferocious beast awakens every 3,000 years ritual complete six knights black — a demon clan army — removes seal beast threatening lives everyone sky palace	Action	Yûki Kaji	Sora Amamiya	Misaki Kuno	Yasuto Nishikata	0.0	0.0	The Seven Deadly Sins: Prisoners of the Sky	0.0	0.0	0.0
1928	4.06194690265483	family saga three bavarian widow 's sons go war germany fourth goes america germany 's eventual opponent	Drama	James Hall	Margaret Mann	Charles Morton	John Ford	0.0	0.0	Les quatre fils	0.0	0.0	0.0
2022	26.522123893805293	war sailor magnificent drama tells story 30,000 norwegian war sailors families ' fate second world war	Drama	Kristoffer Joner	Pål Sverre Hagen	Ine Marie Wilmann	Gunnar Vikene	0.0	0.0	Krigsseileren	0.0	0.0	0.0
2015	24.849557522123884	guibord independent member parliament represents prescott - makadewà - rapides - aux outardes vast county northern quebec entire country watches guibord unwillingly finds awkward position holding decisive vote determine whether canada go war accompanied wife daughter idealistic intern haiti named sovereign guibord travels across district order consult constituents groups lobbyists get involved debate spins control mp face conscience ' my internship canada ' biting political satire politicians citizens lobbyists go head - to - head tearing democracy shreds film starring suzanne clément patrick huard mardy men	Comedy	Irdens Exantus	Caroline Trudel	Patrick Huard	Philippe Falardeau	-1.0	0.0	Guibord s'en va-t-en guerre	0.0	0.0	0.0
2018	25.56637168141589	young new york couple goes college romance marriage birth first child unexpected twists journey create reverberations echo continents lifetimes	Drama	Oscar Isaac	Olivia Wilde	Annette Bening	Dan Fogelman	-1.0	0.0	Seule la vie...	0.0	0.0	0.0
1973	14.814159292035313	two people frenchman julien maroyeur jewish german woman anna kupfer met train escaping german army entering france	Drama	Jean-Louis Trintignant	Romy Schneider	Maurice Biraud	Pierre Granier-Deferre	-1.0	0.0	Le train	0.0	0.0	0.0
2020	26.0442477876106	war photographer w. eugene smith travels back japan documents devastating effect mercury poisoning coastal communities	Drama	Akiko Iwase	Kogarashi Wakasugi	Johnny Depp	Andrew Levitas	1.0	0.0	Minamata	0.0	0.0	0.0
1948	8.840707964601766	poland world war ii martha weiss jewish woman arrives auschwitz extermination camp family assigned role interpreter loved ones much less fortunate	Drama	Wanda Bartówna	Huguette Faget	Tatyana Guretskaya	Wanda Jakubowska	0.0	0.0	La dernière étape	0.0	0.0	0.0
1965	12.902654867256597	cargo aircraft crashes sandstorm sahara less dozen men board one passengers airplane designer comes idea ripping undamaged wing using basis replacement aircraft build escape food water run	Adventure	James Stewart	Richard Attenborough	Peter Finch	Robert Aldrich	0.0	0.0	Le vol du Phénix	0.0	0.0	0.0
1958	11.230088495575181	retired san francisco detective suffering acrophobia investigates strange activities old friend 's wife becoming dangerously obsessed	Mystery	James Stewart	Kim Novak	Barbara Bel Geddes	Alfred Hitchcock	0.0	-1.0	Sueurs froides	0.0	1.0	0.0
1969	13.858407079646003	ronin desperately seeks way financial straits allies tosa clan ruthless leader takechi quickly takes advantage	Action	Shintarô Katsu	Tatsuya Nakadai	Yukio Mishima	Hideo Gosha	0.0	0.0	Puni par le ciel	0.0	0.0	0.0
2006	22.69911504424777	nazi - occupied netherlands world war ii jewish singer infiltrates regional gestapo headquarters dutch resistance	Drama	Carice van Houten	Sebastian Koch	Thom Hoffman	Paul Verhoeven	-1.0	0.0	Black Book	0.0	1.0	0.0
1964	12.66371681415929	isabella young model murdered mysterious masked figure fashion house rome diary details house employees many vices disappears masked killer begins killing models around house find	Crime	Cameron Mitchell	Eva Bartok	Thomas Reiner	Mario Bava	0.0	0.0	6 femmes pour l'assassin	1.0	1.0	0.0
1976	15.530973451327416	philadelphia small - time bookie stole mob money hiding begs childhood friend help evade hit - man 's trail	Crime	Rose Arrick	Carol Grace	William Hickey	Elaine May	0.0	0.0	Mikey et Nicky	0.0	0.0	0.0
1994	19.831858407079647	paris pierre anne living together couple years eighteen months son loulou stays nanny laurence day work best friends couple victor claire also married live together blue pierre feels anne estranged sooner discloses love another man pierre seems accept affair relationship rapidly deteriorates pierre becomes violent	Drama	Isabelle Huppert	Daniel Auteuil	Jérôme Deschamps	Christian Vincent	1.0	0.0	La séparation	0.0	0.0	0.0
1994	19.831858407079647	valentine student model geneva struggles possessive boyfriend troubled family runs dog discovers owner retired judge illegally wiretapping eavesdropping neighbors ' phone calls although valentine outraged develops strange bond judge – two become closer finds caught middle events could change life	Drama	Irène Jacob	Jean-Louis Trintignant	Frédérique Feder	Krzysztof Kieslowski	0.0	0.0	Trois couleurs: Rouge	0.0	0.0	0.0
2010	23.654867256637175	children nick little brother take care baby brother mother drinks senseless baby dies brothers blame many years later nick prison serving time assault drinks lives shelter tries help old friend mother dies nick meets brother funeral brother remains nameless single father young boy also supports drug habit spiraling control opportunity presents becomes drug dealer secure son 's future eventually two brothers meet	Drama	Gustav Fischer Kjærulff	Sebastian Bull	Mads Broe Andersen	Thomas Vinterberg	0.0	0.0	Submarino	0.0	0.0	0.0
